Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111084.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 39                            

Run: 40
johnson16-2-4.clq    | 548                            | 548.00                           | 40                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 40                            
johnson8-4-4.clq     | 511                            | 511.00                           | 40                            
keller4.clq          | 1153                           | 1153.00                          | 40                            
keller5.clq          | 3317                           | 3317.00                          | 40                            
keller6.clq          | 7231                           | 6743.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 3                             
MANN_a9.clq          | 372                            | 372.00                           | 40                            

Run: 41
johnson16-2-4.clq    | 548                            | 548.00                           | 41                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 41                            
johnson8-4-4.clq     | 511                            | 511.00                           | 41                            
keller4.clq          | 1153                           | 1153.00                          | 41                            
keller5.clq          | 3317                           | 3317.00                          | 41                            
keller6.clq          | 7231                           | 6748.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 3                             
MANN_a9.clq          | 372                            | 372.00                           | 41                            

Run: 42
johnson16-2-4.clq    | 548                            | 548.00                           | 42                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 42                            
